,Unnamed: 0,cntxt_num,count,mean,pt,r_num,index,context_num,context_type,context_shock,cntxt_trialnum,Mean,STD
210,1.0,1.0,3.0,0.0,66.0,2.0,7.0,1.0,THREAT,None,1.0,0.1043277777777778,0.16590338366777907
211,2.0,2.0,3.0,0.0,66.0,2.0,13.0,2.0,THREAT,None,1.0,0.1043277777777778,0.16590338366777907
212,3.0,3.0,3.0,0.0,66.0,2.0,19.0,3.0,THREAT,None,1.0,0.1043277777777778,0.16590338366777907
213,4.0,4.0,3.0,0.0,66.0,2.0,25.0,4.0,SAFE,None,1.0,0.1043277777777778,0.16590338366777907
214,5.0,5.0,3.0,0.0361,66.0,2.0,31.0,5.0,THREAT,None,1.0,0.1043277777777778,0.16590338366777907
215,6.0,6.0,3.0,0.2589,66.0,2.0,37.0,6.0,SAFE,None,1.0,0.1043277777777778,0.16590338366777907
216,7.0,7.0,3.0,0.0188,66.0,2.0,43.0,7.0,THREAT,prior,1.0,0.06061111111111111,0.059328565571826
217,,,,,,,,,,,,0.06061111111111111,0.059328565571826
218,9.0,9.0,3.0,0.0107,66.0,2.0,55.0,7.0,THREAT,post,1.0,0.06061111111111111,0.059328565571826
219,10.0,10.0,3.0,0.5702,66.0,2.0,61.0,8.0,SAFE,None,1.0,0.06061111111111111,0.059328565571826
220,11.0,11.0,3.0,0.0407,66.0,2.0,67.0,9.0,SAFE,None,1.0,0.06061111111111111,0.059328565571826
221,12.0,12.0,3.0,0.0168,66.0,2.0,73.0,10.0,SAFE,None,1.0,0.06061111111111111,0.059328565571826
222,13.0,13.0,3.0,0.0214,66.0,2.0,79.0,11.0,SAFE,None,1.0,0.06061111111111111,0.059328565571826
223,14.0,14.0,3.0,0.0356,66.0,2.0,85.0,12.0,SAFE,None,1.0,0.06061111111111111,0.059328565571826
224,15.0,15.0,3.0,0.0051,66.0,2.0,91.0,13.0,THREAT,None,1.0,0.06061111111111111,0.059328565571826
225,16.0,16.0,3.0,0.3128,66.0,2.0,97.0,14.0,THREAT,None,1.0,0.06061111111111111,0.059328565571826
