,index,time,GSR,shock,stims,contexts,trls_rec
41653,47682,3.9739999999999998,-0.1633,0,0,7.0,3853.0
41654,47683,3.9739999999999998,-0.1617,0,0,7.0,3854.0
41655,47684,3.9739999999999998,-0.1602,0,0,7.0,3855.0
41656,47685,3.9739999999999998,-0.1633,0,0,7.0,3856.0
41657,47686,3.9739999999999998,-0.1633,0,0,7.0,3857.0
41658,47687,3.9739999999999998,-0.1648,0,0,7.0,3858.0
41659,47688,3.9739999999999998,-0.1587,0,0,7.0,3859.0
41660,47689,3.9739999999999998,-0.1602,0,0,7.0,3860.0
41661,47690,3.9739999999999998,-0.1663,0,0,7.0,3861.0
41662,47691,3.9739999999999998,-0.1617,0,0,7.0,3862.0
41663,47692,3.9739999999999998,-0.1602,0,0,7.0,3863.0
41664,47693,3.9739999999999998,-0.1587,0,0,7.0,3864.0
41665,47694,3.9739999999999998,-0.1633,0,0,7.0,3865.0
41666,47695,3.975,-0.1602,0,0,7.0,3866.0
41667,47696,3.975,-0.1617,0,0,7.0,3867.0
41668,47697,3.975,-0.1602,0,0,7.0,3868.0
41669,47698,3.975,-0.1633,0,0,7.0,3869.0
41670,47699,3.975,-0.1617,0,0,7.0,3870.0
41671,47700,3.975,-0.1587,0,0,7.0,3871.0
41672,47701,3.975,-0.1617,0,0,7.0,3872.0
41673,47702,3.975,-0.1617,0,0,7.0,3873.0
41674,47703,3.975,-0.1663,0,0,7.0,3874.0
41675,47704,3.975,-0.1648,0,0,7.0,3875.0
41676,47705,3.975,-0.1617,0,0,7.0,3876.0
41677,47706,3.975,-0.1633,0,0,7.0,3877.0
41678,47707,3.9760000000000004,-0.1663,0,0,7.0,3878.0
41679,47708,3.9760000000000004,-0.1602,0,0,7.0,3879.0
41680,47709,3.9760000000000004,-0.1633,0,0,7.0,3880.0
41681,47710,3.9760000000000004,-0.1633,0,0,7.0,3881.0
41682,47711,3.9760000000000004,-0.1633,0,0,7.0,3882.0
41683,47712,3.9760000000000004,-0.1617,0,0,7.0,3883.0
41684,47713,3.9760000000000004,-0.1602,0,0,7.0,3884.0
41685,47714,3.9760000000000004,-0.1617,0,0,7.0,3885.0
41686,47715,3.9760000000000004,-0.1617,0,0,7.0,3886.0
41687,47716,3.9760000000000004,-0.1663,0,0,7.0,3887.0
41688,47717,3.9760000000000004,-0.1633,0,0,7.0,3888.0
41689,47718,3.977,-0.1663,0,0,7.0,3889.0
41690,47719,3.977,-0.1617,0,0,7.0,3890.0
41691,47720,3.977,-0.1633,0,0,7.0,3891.0
41692,47721,3.977,-0.1617,0,0,7.0,3892.0
41693,47722,3.977,-0.1617,0,0,7.0,3893.0
41694,47723,3.977,-0.1602,0,0,7.0,3894.0
41695,47724,3.977,-0.1633,0,0,7.0,3895.0
41696,47725,3.977,-0.1617,0,0,7.0,3896.0
41697,47726,3.977,-0.1648,0,0,7.0,3897.0
41698,47727,3.977,-0.1617,0,0,7.0,3898.0
41699,47728,3.977,-0.1602,0,0,7.0,3899.0
41700,47729,3.977,-0.1617,0,0,7.0,3900.0
41701,47730,3.978,-0.1648,0,0,7.0,3901.0
41702,47731,3.978,-0.1617,0,0,7.0,3902.0
41703,47732,3.978,-0.1617,0,0,7.0,3903.0
41704,47733,3.978,-0.1648,0,0,7.0,3904.0
41705,47734,3.978,-0.1617,0,0,7.0,3905.0
41706,47735,3.978,-0.1633,0,0,7.0,3906.0
41707,47736,3.978,-0.1633,0,0,7.0,3907.0
41708,47737,3.978,-0.1602,0,0,7.0,3908.0
41709,47738,3.978,-0.1587,0,0,7.0,3909.0
41710,47739,3.978,-0.1602,0,0,7.0,3910.0
41711,47740,3.978,-0.1617,0,0,7.0,3911.0
41712,47741,3.978,-0.1617,0,0,7.0,3912.0
41713,47742,3.978,-0.1617,0,0,7.0,3913.0
