,Unnamed: 0,cntxt_num,count,mean,pt,r_num,index,context_num,context_type,context_shock,cntxt_trialnum
345,3,3,3,0.0198,67,4,19,3.0,SAFE,None,1.0
346,4,4,3,0.057,67,4,25,4.0,SAFE,None,1.0
347,5,5,3,0.0224,67,4,31,5.0,THREAT,None,1.0
348,6,6,3,0.0336,67,4,37,6.0,THREAT,None,1.0
349,7,7,3,0.0,67,4,43,7.0,THREAT,prior,1.0
351,9,9,3,0.0544,67,4,55,7.0,THREAT,post,1.0
352,10,10,3,0.17600000000000002,67,4,61,8.0,SAFE,None,1.0
353,11,11,3,0.1104,67,4,67,9.0,SAFE,None,1.0
354,12,12,3,0.1114,67,4,73,10.0,SAFE,None,1.0
355,13,13,3,0.0,67,4,79,11.0,THREAT,None,1.0
356,14,14,3,0.1353,67,4,85,12.0,THREAT,None,1.0
357,15,15,3,0.0,67,4,91,13.0,SAFE,None,1.0
358,16,16,3,0.0153,67,4,97,14.0,THREAT,None,1.0
359,17,17,3,0.0524,67,4,103,15.0,SAFE,None,1.0
360,18,18,3,0.1434,67,4,109,16.0,THREAT,None,1.0
361,0,0,3,0.0,67,5,1,0.0,THREAT,None,1.0
362,1,1,3,0.0163,67,5,7,1.0,THREAT,None,1.0
363,2,2,3,0.0615,67,5,13,2.0,SAFE,None,1.0
364,3,3,3,0.0366,67,5,19,3.0,SAFE,None,1.0
365,4,4,3,0.0743,67,5,25,4.0,SAFE,prior,1.0
367,6,6,3,0.0102,67,5,37,4.0,SAFE,post,1.0
368,7,7,3,0.032,67,5,43,5.0,THREAT,None,1.0
369,8,8,3,0.0387,67,5,49,6.0,THREAT,None,1.0
370,9,9,3,0.0,67,5,55,7.0,SAFE,None,1.0
371,10,10,3,0.0,67,5,61,8.0,SAFE,None,1.0
372,11,11,3,0.0086,67,5,67,9.0,SAFE,None,1.0
373,12,12,3,0.0687,67,5,73,10.0,THREAT,None,1.0
374,13,13,3,0.0524,67,5,79,11.0,THREAT,None,1.0
375,14,14,3,0.1002,67,5,85,12.0,SAFE,None,1.0
376,15,15,3,0.0626,67,5,91,13.0,THREAT,None,1.0
377,16,16,3,0.0,67,5,97,14.0,THREAT,None,1.0
378,17,17,3,0.0809,67,5,103,15.0,SAFE,None,1.0
379,18,18,3,0.1429,67,5,109,16.0,THREAT,None,1.0
380,0,0,3,0.0,68,1,1,0.0,SAFE,None,1.0
381,1,1,3,0.1368,68,1,7,1.0,THREAT,None,1.0
382,2,2,3,0.1317,68,1,13,2.0,SAFE,None,1.0
383,3,3,3,0.1211,68,1,19,3.0,THREAT,None,1.0
384,4,4,3,0.1012,68,1,25,4.0,THREAT,None,1.0
385,5,5,3,0.0102,68,1,31,5.0,THREAT,None,1.0
386,6,6,3,0.0249,68,1,37,6.0,THREAT,None,1.0
387,7,7,3,0.2274,68,1,43,7.0,SAFE,None,1.0
388,8,8,3,0.268,68,1,49,8.0,SAFE,None,1.0
389,9,9,3,0.0254,68,1,55,9.0,SAFE,None,1.0
390,10,10,3,0.1348,68,1,61,10.0,SAFE,None,1.0
391,11,11,3,0.0987,68,1,67,11.0,SAFE,None,1.0
392,12,12,3,0.2304,68,1,73,12.0,THREAT,None,1.0
393,13,13,3,0.0799,68,1,79,13.0,THREAT,prior,1.0
395,15,15,3,0.0982,68,1,91,13.0,THREAT,post,1.0
396,16,16,3,0.1963,68,1,97,14.0,SAFE,None,1.0
397,17,17,3,0.0534,68,1,103,15.0,THREAT,None,1.0
398,18,18,3,0.1226,68,1,109,16.0,SAFE,None,1.0
399,0,0,3,0.0361,68,2,1,0.0,SAFE,None,1.0
400,1,1,3,0.0086,68,2,7,1.0,THREAT,None,1.0
401,2,2,3,0.1831,68,2,13,2.0,THREAT,None,1.0
402,3,3,3,0.027999999999999997,68,2,19,3.0,THREAT,None,1.0
403,4,4,3,0.1994,68,2,25,4.0,SAFE,None,1.0
404,5,5,3,0.324,68,2,31,5.0,THREAT,None,1.0
405,6,6,3,0.20800000000000002,68,2,37,6.0,SAFE,None,1.0
406,7,7,3,0.1078,68,2,43,7.0,THREAT,prior,1.0
408,9,9,3,0.0249,68,2,55,7.0,THREAT,post,1.0
409,10,10,3,0.1434,68,2,61,8.0,SAFE,None,1.0
410,11,11,3,0.0,68,2,67,9.0,SAFE,None,1.0
411,12,12,3,0.0,68,2,73,10.0,SAFE,None,1.0
412,13,13,3,0.1587,68,2,79,11.0,SAFE,None,1.0
413,14,14,3,0.3291,68,2,85,12.0,SAFE,None,1.0
414,15,15,3,0.2574,68,2,91,13.0,THREAT,None,1.0
415,16,16,3,0.09,68,2,97,14.0,THREAT,None,1.0
416,17,17,3,0.1526,68,2,103,15.0,THREAT,None,1.0
417,18,18,3,0.2009,68,2,109,16.0,SAFE,None,1.0
418,0,0,3,0.3525,68,3,1,0.0,SAFE,None,1.0
419,1,1,3,0.1877,68,3,7,1.0,SAFE,None,1.0
420,2,2,3,0.1312,68,3,13,2.0,SAFE,None,1.0
421,3,3,3,0.6297,68,3,19,3.0,SAFE,None,1.0
422,4,4,3,0.2258,68,3,25,4.0,SAFE,None,1.0
423,5,5,3,0.0,68,3,31,5.0,THREAT,None,1.0
424,6,6,3,0.1434,68,3,37,6.0,THREAT,None,1.0
425,7,7,3,0.0783,68,3,43,7.0,THREAT,prior,1.0
427,9,9,3,0.0473,68,3,55,7.0,THREAT,post,1.0
428,10,10,3,0.028999999999999998,68,3,61,8.0,THREAT,None,1.0
